[DOMAIN:标签] [CAT:人物/对象] 1girl | 1个女孩
[DOMAIN:标签] [CAT:人物/皮肤] tanned_skin | 晒黑肌肤
[DOMAIN:标签] [CAT:人物/性器官] spiked_penis | 带刺阴茎
[DOMAIN:标签] [CAT:人物/指甲] ass_hair | 臀毛
[DOMAIN:标签] [CAT:人物/面部] long_mustache | 长髭
[DOMAIN:标签] [CAT:人物/对象] draco_centauros | 龙人马
[DOMAIN:标签] [CAT:人物/性器官] bulge_to_ass | 股间凸起
[DOMAIN:标签] [CAT:人物/嘴巴] yellow_lips | 黄唇
[DOMAIN:标签] [CAT:人物/性器官] bursting_ass | 爆臀
[DOMAIN:标签] [CAT:人物/性器官] precum_string | 先走丝线
[DOMAIN:标签] [CAT:人物/性器官] testicle_peek | 睾丸窥视
[DOMAIN:标签] [CAT:人物/翅膀] two-tone_horns | 双色角
[DOMAIN:标签] [CAT:人物/对象] female_orc | 女性兽人
[DOMAIN:标签] [CAT:人物/身份（职业）] jackal_boy | 豺狼少年
[DOMAIN:标签] [CAT:人物/头发发型] translucent_hair | 半透明发丝
[DOMAIN:标签] [CAT:人物/嘴巴] throat_bulge | 喉部凸起
[DOMAIN:标签] [CAT:人物/眼睛] shadowed_eyes | 阴影眼
[DOMAIN:标签] [CAT:人物/头发发型] cornrows | 玉米垄发辫
[DOMAIN:标签] [CAT:人物/对象] forward_facing_horns | 前向角
[DOMAIN:标签] [CAT:人物/面部] x_scar | X形疤痕
[DOMAIN:标签] [CAT:人物/眼睛] aqua_pupils | 水色瞳孔
[DOMAIN:标签] [CAT:人物/牙齿] yellow_teeth | 黄牙
[DOMAIN:标签] [CAT:人物/性器官] shaved_pussy | 剃光阴部
[DOMAIN:标签] [CAT:人物/胸部] breasts_day | 美胸日
[DOMAIN:标签] [CAT:人物/胸部] teal_nipples | 青绿色乳头
[DOMAIN:标签] [CAT:人物/头发发型] shaved_head | 光头
[DOMAIN:标签] [CAT:人物/皮肤] teal_skin | 青蓝色皮肤
[DOMAIN:标签] [CAT:人物/头发发型] blunt_sidelocks | 齐鬓角
[DOMAIN:标签] [CAT:人物/性器官] kiss_mark_on_penis | 阴茎吻痕
[DOMAIN:标签] [CAT:人物/鼻子] beaver_ears | 海狸耳朵
[DOMAIN:标签] [CAT:人物/胸部] breast_awe | 胸部敬畏
[DOMAIN:标签] [CAT:人物/鼻子] aqua_horns | 水色犄角
[DOMAIN:标签] [CAT:人物/鼻子] alpaca_tail | 羊驼尾巴
[DOMAIN:标签] [CAT:人物/对象] mismatched_horns | 不对称犄角
[DOMAIN:标签] [CAT:人物/对象] slug_girl | 蛞蝓女孩
[DOMAIN:标签] [CAT:人物/面部] mismatched_animal_ear_colors | 异色兽耳
[DOMAIN:标签] [CAT:人物/身份（职业）] husband_and_husband | 夫夫
[DOMAIN:标签] [CAT:人物/指甲] red_fingernails | 红色指甲
[DOMAIN:标签] [CAT:人物/翅膀] ankle_wings | 脚踝翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] adventurer | 冒险者
[DOMAIN:标签] [CAT:人物/面部] flushed | 脸红
[DOMAIN:标签] [CAT:人物/腹部] x_navel | X脐
[DOMAIN:标签] [CAT:人物/身份（职业）] scientist | 科学家
[DOMAIN:标签] [CAT:人物/头发发型] borrowed_hairstyle | 借用发型
[DOMAIN:标签] [CAT:人物/眼睛] googly_eyes | 滑稽眼
[DOMAIN:标签] [CAT:人物/性器官] stiff_tail | 硬质尾巴
[DOMAIN:标签] [CAT:人物/指甲] pink_fingernails | 粉色指甲
[DOMAIN:标签] [CAT:人物/性器官] foot_pussy | 足部拟阴
[DOMAIN:标签] [CAT:人物/头发发型] single_bang | 单侧刘海
[DOMAIN:标签] [CAT:人物/身份（职业）] store_clerk | 店员
[DOMAIN:标签] [CAT:人物/头发发型] low_side_ponytail | 低位侧马尾
[DOMAIN:标签] [CAT:人物/身份（职业）] ghost_girl | 幽灵少女
[DOMAIN:标签] [CAT:人物/身份（职业）] frankenstein's_monster_(cosplay) | 弗兰肯斯坦的怪物（角色扮演）
[DOMAIN:标签] [CAT:人物/牙齿] eye_tattoo | 眼部纹身
[DOMAIN:标签] [CAT:人物/脸型] sunken_cheeks | 凹陷脸颊
[DOMAIN:标签] [CAT:人物/脸型] very_long_ears | 超长耳朵
[DOMAIN:标签] [CAT:人物/眼睛] dilated_pupils | 瞳孔放大
[DOMAIN:标签] [CAT:人物/身材] muscular_uke | 肌肉受方
[DOMAIN:标签] [CAT:人物/翅膀] aqua_wings | 水色翅膀
[DOMAIN:标签] [CAT:人物/头发发型] handlebar | 把手胡
[DOMAIN:标签] [CAT:人物/腹部] inflated_belly | 
[DOMAIN:标签] [CAT:人物/身份（职业）] officer | 警官
[DOMAIN:标签] [CAT:人物/指甲] black_toenails | 黑色趾甲
[DOMAIN:标签] [CAT:人物/眼睛] mystic_eyes_of_death_perception | 直死之魔眼
[DOMAIN:标签] [CAT:人物/对象] jackal_tail | 胡狼尾
[DOMAIN:标签] [CAT:人物/头发发型] hair_around_ear | 绕耳发
[DOMAIN:标签] [CAT:人物/性器官] prolapse | 脱垂
[DOMAIN:标签] [CAT:人物/头发发型] pink_pubic_hair | 粉色阴毛
[DOMAIN:标签] [CAT:人物/身材] exposed_muscle | 肌肉裸露
[DOMAIN:标签] [CAT:人物/对象] snake_girl | 蛇女
[DOMAIN:标签] [CAT:人物/身份（职业）] flight_attendant | 空乘人员
[DOMAIN:标签] [CAT:人物/头发发型] afro_puffs | 爆炸头蓬蓬球
[DOMAIN:标签] [CAT:人物/面部] grey_lips | 灰色嘴唇
[DOMAIN:标签] [CAT:人物/身份（职业）] prisoner | 囚犯
[DOMAIN:标签] [CAT:人物/对象] quintuplets | 五胞胎
[DOMAIN:标签] [CAT:人物/身份（职业）] amazon_warrior | 亚马逊战士
[DOMAIN:标签] [CAT:人物/对象] recursive_genderswap | 递归性别转换
[DOMAIN:标签] [CAT:人物/身份（职业）] roegadyn | 鲁加族
[DOMAIN:标签] [CAT:人物/皮肤] snake_tattoo | 蛇纹身
[DOMAIN:标签] [CAT:人物/瞳孔] rectangular_pupils | 矩形瞳孔
[DOMAIN:标签] [CAT:人物/头发发型] flipped_bangs | 翻翘刘海
[DOMAIN:标签] [CAT:人物/性器官] foreskin_pull | 包皮牵拉
[DOMAIN:标签] [CAT:人物/身份（职业）] cowgirl_(western) | 牛仔女郎（西部风格）
[DOMAIN:标签] [CAT:人物/身份（职业）] wrestler | 摔角手
[DOMAIN:标签] [CAT:人物/头发发型] folded_twintails | 折叠双马尾
[DOMAIN:标签] [CAT:人物/头发发型] two-tone_tail | 双色尾巴
[DOMAIN:标签] [CAT:人物/眼睛] eye_of_senri | 千里眼
[DOMAIN:标签] [CAT:人物/对象] lizardman | 蜥蜴人
[DOMAIN:标签] [CAT:人物/性器官] mons_pubis | 阴阜
[DOMAIN:标签] [CAT:人物/性器官] bouncing_testicles | 弹跳睾丸
[DOMAIN:标签] [CAT:人物/头发发型] dyed_ahoge | 染色呆毛
[DOMAIN:标签] [CAT:人物/皮肤] knee_blush | 膝盖红晕
[DOMAIN:标签] [CAT:人物/性器官] plump_camel_toe | 丰满骆驼趾
[DOMAIN:标签] [CAT:人物/对象] half-harpy | 半鸟身女妖
[DOMAIN:标签] [CAT:人物/嘴巴] orange_lips | 橙色嘴唇
[DOMAIN:标签] [CAT:人物/牙齿] shark_teeth | 鲨鱼齿
[DOMAIN:标签] [CAT:人物/身份（职业）] barista | 咖啡师
[DOMAIN:标签] [CAT:人物/对象] grandfather_and_grandson | 爷孙
[DOMAIN:标签] [CAT:人物/年龄] toddler | 学步幼童
[DOMAIN:标签] [CAT:人物/腿部] detached_arm | 断臂
[DOMAIN:标签] [CAT:人物/面部] hand_blush | 手部泛红
[DOMAIN:标签] [CAT:人物/身份（职业）] indian | 印度人
[DOMAIN:标签] [CAT:人物/腿部] single_mechanical_leg | 单机械腿
[DOMAIN:标签] [CAT:人物/翅膀] expressive_tail | 表情丰富尾巴
[DOMAIN:标签] [CAT:人物/对象] person_and_animalization | 人与兽化
[DOMAIN:标签] [CAT:人物/身材] weight_gain | 体重增加
[DOMAIN:标签] [CAT:人物/身份（职业）] sniper | 狙击手
[DOMAIN:标签] [CAT:人物/身份（职业）] marching_band | 军乐队
[DOMAIN:标签] [CAT:人物/头发发型] pig_tail | 猪尾辫
[DOMAIN:标签] [CAT:人物/头发发型] heart_antenna_hair | 心形天线发型
[DOMAIN:标签] [CAT:人物/性器官] labia_piercing | 阴唇穿孔
[DOMAIN:标签] [CAT:人物/身份（职业）] yakuza | 极道
[DOMAIN:标签] [CAT:人物/身份（职业）] cashier | 收银员
[DOMAIN:标签] [CAT:人物/腹部] full_stomach | 饱腹感
[DOMAIN:标签] [CAT:人物/对象] flesh | 血肉
[DOMAIN:标签] [CAT:人物/身份（职业）] oiran | 花魁
[DOMAIN:标签] [CAT:人物/肩部] bite_mark_on_shoulder | 肩部咬痕
[DOMAIN:标签] [CAT:人物/指甲] black_claws | 黑色爪子
[DOMAIN:标签] [CAT:人物/瞳孔] crosshair_pupils | 十字准星瞳孔
[DOMAIN:标签] [CAT:人物/性器官] cuntboy | 男阴
[DOMAIN:标签] [CAT:人物/身份（职业）] aunt_and_nephew | 姑侄
[DOMAIN:标签] [CAT:人物/嘴巴] snot_bubble | 鼻涕泡
[DOMAIN:标签] [CAT:人物/对象] ogre | 鬼怪
[DOMAIN:标签] [CAT:人物/眼睛] cutie_mark | 可爱标记
[DOMAIN:标签] [CAT:人物/翅膀] ox_ears | 牛耳
[DOMAIN:标签] [CAT:人物/眼睛] rainbow_eyes | 彩虹眼瞳
[DOMAIN:标签] [CAT:人物/嘴巴] black_mouth | 黑嘴
[DOMAIN:标签] [CAT:人物/对象] sea_slug_girl | 海蛞蝓女孩
[DOMAIN:标签] [CAT:人物/头发发型] v-bangs | V形刘海
[DOMAIN:标签] [CAT:人物/对象] mouse_boy | 鼠耳少年
[DOMAIN:标签] [CAT:人物/指甲] prosthetic_hand | 义肢
[DOMAIN:标签] [CAT:人物/身材] large_female | 巨大女性
[DOMAIN:标签] [CAT:人物/对象] deer_boy | 鹿角少年
[DOMAIN:标签] [CAT:人物/身份（职业）] jedi | 绝地武士
[DOMAIN:标签] [CAT:人物/性器官] covered_pussy | 遮挡阴部
[DOMAIN:标签] [CAT:人物/对象] pig_girl | 猪娘
[DOMAIN:标签] [CAT:人物/翅膀] wing_piercing | 翅膀穿孔
[DOMAIN:标签] [CAT:人物/身份（职业）] tamaranean | 塔马兰星人
[DOMAIN:标签] [CAT:人物/性器官] hyena_tail | 鬣狗尾巴
[DOMAIN:标签] [CAT:人物/身份（职业）] buddhist_nun | 比丘尼
[DOMAIN:标签] [CAT:人物/眼睛] pac-man_eyes | 吃豆人眼
[DOMAIN:标签] [CAT:人物/对象] robotization | 机械化
[DOMAIN:标签] [CAT:人物/舌头] yellow_tongue | 黄色舌头
[DOMAIN:标签] [CAT:人物/头发发型] braided_twintails | 编织双马尾
[DOMAIN:标签] [CAT:人物/性器官] mechanical_spine | 机械脊柱
[DOMAIN:标签] [CAT:人物/胸部] scar_on_breasts | 胸部疤痕
[DOMAIN:标签] [CAT:人物/头发发型] hair_floating_upwards | 头发向上飘浮
[DOMAIN:标签] [CAT:人物/身份（职业）] conductor | 指挥家
[DOMAIN:标签] [CAT:人物/胸部] large_bulge | 明显凸起
[DOMAIN:标签] [CAT:人物/对象] satyr | 萨堤尔
[DOMAIN:标签] [CAT:人物/头发发型] bald_girl | 光头女孩
[DOMAIN:标签] [CAT:人物/身份（职业）] king | 国王
[DOMAIN:标签] [CAT:人物/对象] hyena_girl | 鬣狗少女
[DOMAIN:标签] [CAT:人物/头发发型] droopy_ears | 垂耳
[DOMAIN:标签] [CAT:人物/性器官] heart-shaped_pubic_hair | 心形阴毛
[DOMAIN:标签] [CAT:人物/头发发型] hair_over_mouth | 发掩口
[DOMAIN:标签] [CAT:人物/性器官] clitoris_slip | 阴蒂滑露
[DOMAIN:标签] [CAT:人物/眼睛] cross_tattoo | 十字纹身
[DOMAIN:标签] [CAT:人物/翅膀] tapir_ears | 貘耳
[DOMAIN:标签] [CAT:人物/胸部] puffy_chest | 胸部隆起
[DOMAIN:标签] [CAT:人物/性器官] penis_on_breast | 胸部阴茎
[DOMAIN:标签] [CAT:人物/眼睛] no_heterochromia | 无双色瞳
[DOMAIN:标签] [CAT:人物/腿部] arched_soles | 足弓弯曲
[DOMAIN:标签] [CAT:人物/对象] spoken_animal | 会说话的动物
[DOMAIN:标签] [CAT:人物/嘴巴] side_mouth | 侧嘴
[DOMAIN:标签] [CAT:人物/身份（职业）] genie | 精灵
[DOMAIN:标签] [CAT:人物/性器官] ovaries | 卵巢
[DOMAIN:标签] [CAT:人物/身份（职业）] goalkeeper | 守门员
[DOMAIN:标签] [CAT:人物/头发发型] side_bangs | 侧刘海
[DOMAIN:标签] [CAT:人物/瞳孔] square_pupils | 方形瞳孔
[DOMAIN:标签] [CAT:人物/胸部] bite_mark_on_breast | 胸部咬痕
[DOMAIN:标签] [CAT:人物/腿部] very_long_tail | 超长尾巴
[DOMAIN:标签] [CAT:人物/胸部] male_with_breasts | 男性巨乳
[DOMAIN:标签] [CAT:人物/腿部] reverse-jointed_legs | 反曲腿
[DOMAIN:标签] [CAT:人物/身份（职业）] viking | 维京人
[DOMAIN:标签] [CAT:人物/身份（职业）] reindeer_girl | 驯鹿女孩
[DOMAIN:标签] [CAT:人物/头发发型] hair_tattoo | 发丝纹身
[DOMAIN:标签] [CAT:人物/头发发型] quiff | 飞机头
[DOMAIN:标签] [CAT:人物/对象] human_head | 人类头部
[DOMAIN:标签] [CAT:人物/面部] third_eye_on_chest | 胸前第三只眼
[DOMAIN:标签] [CAT:人物/身份（职业）] shark_boy | 鲨鱼男孩
[DOMAIN:标签] [CAT:人物/眼睛] lower_eyelashes_only | 仅下睫毛
[DOMAIN:标签] [CAT:人物/头发发型] hair_buns | 团子头
[DOMAIN:标签] [CAT:人物/身份（职业）] mafia | 黑手党
[DOMAIN:标签] [CAT:人物/身份（职业）] big_boss | 大头目
[DOMAIN:标签] [CAT:人物/身份（职业）] servant_(danganronpa) | 仆人（弹丸论破）
[DOMAIN:标签] [CAT:人物/头发发型] feixianji_(hairstyle) | 飞仙髻（发型）
[DOMAIN:标签] [CAT:人物/对象] grandmother_and_granddaughter | 祖母与孙女
[DOMAIN:标签] [CAT:人物/对象] koonago | 小女子
[DOMAIN:标签] [CAT:人物/性器官] between_buttocks | 臀缝间
[DOMAIN:标签] [CAT:人物/身份（职业）] sheriff | 警长
[DOMAIN:标签] [CAT:人物/肩部] exposed_shoulder | 露肩
[DOMAIN:标签] [CAT:人物/面部] nose_scar | 鼻部疤痕
[DOMAIN:标签] [CAT:人物/身份（职业）] prince_of_samantoria | 萨曼托利亚王子
[DOMAIN:标签] [CAT:人物/身份（职业）] swordsman_(ragnarok_online) | 剑士（仙境传说）
[DOMAIN:标签] [CAT:人物/对象] red_panda_girl | 小熊猫少女
[DOMAIN:标签] [CAT:人物/头发发型] hairstyle_connection | 发型连接
[DOMAIN:标签] [CAT:人物/对象] mother_and_child | 母子
[DOMAIN:标签] [CAT:人物/翅膀] moth_antennae | 蛾类触角
[DOMAIN:标签] [CAT:人物/鼻子] dog_nose | 狗鼻子
[DOMAIN:标签] [CAT:人物/胸部] breasts_on_another's_back | 他人背上的乳房
[DOMAIN:标签] [CAT:人物/对象] octopus_boy | 章鱼少年
[DOMAIN:标签] [CAT:人物/头发发型] middle_w | 中分W发型
[DOMAIN:标签] [CAT:人物/性器官] multiple_vaginal | 多重阴道
[DOMAIN:标签] [CAT:人物/指甲] spider_tattoo | 蜘蛛纹身
[DOMAIN:标签] [CAT:人物/头发发型] heart_hair_bun | 心形发髻
[DOMAIN:标签] [CAT:人物/腹部] glowing_markings | 发光纹路
[DOMAIN:标签] [CAT:人物/鼻子] pink_nose | 粉色鼻子
[DOMAIN:标签] [CAT:人物/身材] hip_dips | 胯部凹陷
[DOMAIN:标签] [CAT:人物/胸部] purple_nipples | 紫色乳头
[DOMAIN:标签] [CAT:人物/身材] torso | 躯干
[DOMAIN:标签] [CAT:人物/身份（职业）] fitness | 健身
[DOMAIN:标签] [CAT:人物/对象] parent_and_child | 亲子
[DOMAIN:标签] [CAT:人物/瞳孔] grey_pupils | 灰色瞳孔
[DOMAIN:标签] [CAT:人物/对象] grandfather_and_granddaughter | 祖孙
[DOMAIN:标签] [CAT:人物/皮肤] alternate_body_hair | 体毛差分
[DOMAIN:标签] [CAT:人物/身份（职业）] phantom_thief | 怪盗
[DOMAIN:标签] [CAT:人物/性器官] wet_spot | 湿痕
[DOMAIN:标签] [CAT:人物/翅膀] grey_feathers | 灰色羽毛
[DOMAIN:标签] [CAT:人物/面部] two-tone_beard | 双色胡须
[DOMAIN:标签] [CAT:人物/翅膀] hippopotamus_ears | 河马耳朵
[DOMAIN:标签] [CAT:人物/身份（职业）] ugly_bastard | 丑陋混蛋
[DOMAIN:标签] [CAT:人物/性器官] colored_pussy | 彩色阴部
[DOMAIN:标签] [CAT:人物/头发发型] braided_beard | 编辫胡须
[DOMAIN:标签] [CAT:人物/皮肤] oiled | 涂油
[DOMAIN:标签] [CAT:人物/翅膀] drawn_tail | 绘制尾巴
[DOMAIN:标签] [CAT:人物/身份（职业）] sumo | 相扑
[DOMAIN:标签] [CAT:人物/皮肤] black_blood | 黑血
[DOMAIN:标签] [CAT:人物/身材] big_arms | 巨臂
[DOMAIN:标签] [CAT:人物/身份（职业）] neet | 尼特族
[DOMAIN:标签] [CAT:人物/鼻子] exposed_brain | 暴露大脑
[DOMAIN:标签] [CAT:人物/鼻子] excessive_nosebleed | 严重鼻血
[DOMAIN:标签] [CAT:人物/对象] faunus | 弗纳族
[DOMAIN:标签] [CAT:人物/鼻子] eye_socket | 眼眶
[DOMAIN:标签] [CAT:人物/头发发型] half_up_half_down_braid | 半编发
[DOMAIN:标签] [CAT:人物/指甲] hip_tattoo | 臀部纹身
[DOMAIN:标签] [CAT:人物/身份（职业）] half-siblings | 同父异母/同母异父兄弟姐妹
[DOMAIN:标签] [CAT:人物/眉毛] eyebrows_visible_through_hat | 透帽可见的眉毛
[DOMAIN:标签] [CAT:人物/眼睛] mature_eyes | 成熟眼眸
[DOMAIN:标签] [CAT:人物/性器官] hymen | 处女膜
[DOMAIN:标签] [CAT:人物/身份（职业）] coach | 教练
[DOMAIN:标签] [CAT:人物/头发发型] connected_beard | 连鬓胡
[DOMAIN:标签] [CAT:人物/身份（职业）] sword_maiden | 剑之圣女
[DOMAIN:标签] [CAT:人物/对象] self_insert | 自我代入
[DOMAIN:标签] [CAT:人物/头发发型] half_crown_braid | 半冠编发
[DOMAIN:标签] [CAT:人物/翅膀] hair_wings | 发翼
[DOMAIN:标签] [CAT:人物/身份（职业）] florence_nightingale_(fate)_(cosplay) | 弗洛伦斯·南丁格尔（Fate）（cosplay）
[DOMAIN:标签] [CAT:人物/身材] armless_amputee | 无臂截肢者
[DOMAIN:标签] [CAT:人物/嘴巴] mouth_full | 满口
[DOMAIN:标签] [CAT:人物/腿部] webbed_feet | 蹼足
[DOMAIN:标签] [CAT:人物/皮肤] blood_on_body | 身体血迹
[DOMAIN:标签] [CAT:人物/对象] cockroach_girl | 蟑螂女孩
[DOMAIN:标签] [CAT:人物/身份（职业）] big_bad_wolf_(cosplay) | 大坏狼（角色扮演）
[DOMAIN:标签] [CAT:人物/对象] pixie | 皮克希
[DOMAIN:标签] [CAT:人物/对象] doppelganger | 二重身
[DOMAIN:标签] [CAT:人物/鼻子] hamster_ears | 仓鼠耳
[DOMAIN:标签] [CAT:人物/皮肤] wet_skin | 湿肤
[DOMAIN:标签] [CAT:人物/脸型] mob_face | 路人脸
[DOMAIN:标签] [CAT:人物/腹部] pink_tattoo | 粉色纹身
[DOMAIN:标签] [CAT:人物/对象] other_with_male | 其他与男性
[DOMAIN:标签] [CAT:人物/胸部] nipple_indents | 乳尖凹陷
[DOMAIN:标签] [CAT:人物/皮肤] mole_on_crotch | 胯部痣
[DOMAIN:标签] [CAT:人物/身份（职业）] ox_girl | 牛娘
[DOMAIN:标签] [CAT:人物/面部] zebra_ears | 斑马耳
[DOMAIN:标签] [CAT:人物/身份（职业）] slime_boy | 史莱姆男孩
[DOMAIN:标签] [CAT:人物/头发发型] hair_between_horns | hair between horns: 角间发
[DOMAIN:标签] [CAT:人物/腿部] mechanical_leg | 机械腿
[DOMAIN:标签] [CAT:人物/指甲] nail | 指甲
[DOMAIN:标签] [CAT:人物/头发发型] impossible_hair | 反物理发型
[DOMAIN:标签] [CAT:人物/头发发型] hair_half_undone | 半散发
[DOMAIN:标签] [CAT:人物/面部] blush_visible_through_hair | 透发可见的红晕
[DOMAIN:标签] [CAT:人物/嘴巴] mandibles | 颚部
[DOMAIN:标签] [CAT:人物/身份（职业）] formula_racer | 方程式赛车手
[DOMAIN:标签] [CAT:人物/身份（职业）] model | 模特
[DOMAIN:标签] [CAT:人物/皮肤] ass_freckles | 臀部雀斑
[DOMAIN:标签] [CAT:人物/胸部] long_nipples | 长乳头
[DOMAIN:标签] [CAT:人物/身材] height_conscious | 身高在意
[DOMAIN:标签] [CAT:人物/胸部] flat_chest_joke | 平胸玩笑
[DOMAIN:标签] [CAT:人物/对象] unicorn_girl | 独角兽女孩
[DOMAIN:标签] [CAT:人物/对象] grandmother_and_grandson | 祖母与孙子
[DOMAIN:标签] [CAT:人物/身材] thick_neck | 粗颈
[DOMAIN:标签] [CAT:人物/腹部] navel_line | 腹脐线
[DOMAIN:标签] [CAT:人物/指甲] gold_nails | 金色指甲
[DOMAIN:标签] [CAT:人物/身份（职业）] joshi_kousei_rich_thots | 女高中生富婆
[DOMAIN:标签] [CAT:人物/身份（职业）] gold_saint | 黄金圣斗士
[DOMAIN:标签] [CAT:人物/鼻子] meerkat_ears | 猫鼬耳
[DOMAIN:标签] [CAT:人物/翅膀] tasmanian_devil_ears | 塔斯马尼亚恶魔耳
[DOMAIN:标签] [CAT:人物/翅膀] gradient_tail | 渐变尾巴
[DOMAIN:标签] [CAT:人物/身份（职业）] assertive_male | 强势男性
[DOMAIN:标签] [CAT:人物/肩部] bad_neck | 颈部不适
[DOMAIN:标签] [CAT:人物/身份（职业）] miki_sayaka_(cosplay) | 美树沙耶香（角色扮演）
[DOMAIN:标签] [CAT:人物/身材] weight | 体重
[DOMAIN:标签] [CAT:人物/身份（职业）] newhalf_with_male | 伪娘与男性
[DOMAIN:标签] [CAT:人物/皮肤] rope_marks | 绳痕
[DOMAIN:标签] [CAT:人物/身份（职业）] wiccan | 威卡教徒
[DOMAIN:标签] [CAT:人物/对象] zombification | 僵尸化
[DOMAIN:标签] [CAT:人物/面部] anteater_ears | 食蚁兽耳
[DOMAIN:标签] [CAT:人物/翅膀] komainu_tail | 狛犬尾
[DOMAIN:标签] [CAT:人物/头发发型] matching_hairstyle | 同款发型
[DOMAIN:标签] [CAT:人物/身材] emaciated | 憔悴消瘦
[DOMAIN:标签] [CAT:人物/头发发型] side_shave | 侧剃发型
[DOMAIN:标签] [CAT:人物/指甲] tramp_stamp | 腰部纹身
[DOMAIN:标签] [CAT:人物/对象] raccoon_boy | 浣熊男孩
[DOMAIN:标签] [CAT:人物/胸部] male_lactation | 男性泌乳
[DOMAIN:标签] [CAT:人物/胸部] exposed_chest | 胸膛袒露
[DOMAIN:标签] [CAT:人物/身份（职业）] cheating_girlfriend | 出轨女友
[DOMAIN:标签] [CAT:人物/身份（职业）] rockstar | 摇滚明星
[DOMAIN:标签] [CAT:人物/腿部] veiny_thighs | 青筋大腿
[DOMAIN:标签] [CAT:人物/胸部] oppai_mochi | 欧派麻糬
[DOMAIN:标签] [CAT:人物/身份（职业）] fighter_(dungeon_and_fighter) | 格斗家（地下城与勇士）
[DOMAIN:标签] [CAT:人物/身材] pear_shaped_figure | 梨形身材
[DOMAIN:标签] [CAT:人物/胸部] floating_breasts | 悬浮胸部
[DOMAIN:标签] [CAT:人物/身份（职业）] sheep_boy | 绵羊少年
[DOMAIN:标签] [CAT:人物/身份（职业）] komainu_girl | 狛犬少女
[DOMAIN:标签] [CAT:人物/皮肤] shirt_tan | 衬衫晒痕
[DOMAIN:标签] [CAT:人物/身份（职业）] legendary_super_saiyan | 传说超级赛亚人
[DOMAIN:标签] [CAT:人物/头发发型] lion_mane | 狮鬃
[DOMAIN:标签] [CAT:人物/头发发型] fuse_tail | 引信尾
[DOMAIN:标签] [CAT:人物/对象] hamster_girl | 仓鼠女孩
[DOMAIN:标签] [CAT:人物/舌头] prehensile_tongue | 可卷曲舌头
[DOMAIN:标签] [CAT:人物/身份（职业）] soviet_army | 苏联军队
[DOMAIN:标签] [CAT:人物/头发发型] knuckle_hair | 指节毛发
[DOMAIN:标签] [CAT:人物/面部] visible_ears | 可见耳朵
[DOMAIN:标签] [CAT:人物/面部] blood_on_mouth | 嘴边血迹
[DOMAIN:标签] [CAT:人物/翅膀] dragonfly_wings | 蜻蜓翅膀
[DOMAIN:标签] [CAT:人物/胸部] lipstick_mark_on_breast | 胸部唇印
[DOMAIN:标签] [CAT:人物/身份（职业）] dark_elven_forest_ranger | 黑暗精灵森林游侠
[DOMAIN:标签] [CAT:人物/身份（职业）] scholar_(final_fantasy) | 学者（最终幻想）
[DOMAIN:标签] [CAT:人物/身份（职业）] school_nurse | 保健室老师
[DOMAIN:标签] [CAT:人物/指甲] sun_tattoo | 太阳纹身
[DOMAIN:标签] [CAT:人物/瞳孔] paw-shaped_pupils | 爪形瞳孔
[DOMAIN:标签] [CAT:人物/身材] gachimuchi | ガチムチ
[DOMAIN:标签] [CAT:人物/头发发型] super_saiyan_3 | 超级赛亚人3
[DOMAIN:标签] [CAT:人物/指甲] extra_digits | 多余脚趾
[DOMAIN:标签] [CAT:人物/性器官] vaginal_prolapse | 阴道脱垂
[DOMAIN:标签] [CAT:人物/肩部] forearms | 前臂
[DOMAIN:标签] [CAT:人物/对象] chameleon_tail | 变色龙尾巴
[DOMAIN:标签] [CAT:人物/身份（职业）] kendo | 剑道
[DOMAIN:标签] [CAT:人物/头发发型] flower_braid | 花辫
[DOMAIN:标签] [CAT:人物/头发发型] curly_sidelocks | 卷曲鬓发
[DOMAIN:标签] [CAT:人物/指甲] fish_tattoo | 鱼形纹身
[DOMAIN:标签] [CAT:人物/年龄] adult_baby | 成人婴儿
[DOMAIN:标签] [CAT:人物/年龄] age_switch | 年龄转换
[DOMAIN:标签] [CAT:人物/面部] ghost_hands | 鬼手
[DOMAIN:标签] [CAT:人物/皮肤] tanline_peek | 晒痕微露
[DOMAIN:标签] [CAT:人物/面部] cross_facial_mark | cross facial mark: 十字面部标记
[DOMAIN:标签] [CAT:人物/身份（职业）] genderswap_(otm) | 性别转换（OTM）
[DOMAIN:标签] [CAT:人物/指甲] green_fingernails | 绿色指甲
[DOMAIN:标签] [CAT:人物/面部] ruined_makeup | 花妆
[DOMAIN:标签] [CAT:人物/对象] exposed_bone | 裸露骨骼
[DOMAIN:标签] [CAT:人物/身份（职业）] bard | 吟游诗人
[DOMAIN:标签] [CAT:人物/身材] thin_arms | 纤细手臂
[DOMAIN:标签] [CAT:人物/指甲] toe_seam | 脚趾缝线
[DOMAIN:标签] [CAT:人物/身份（职业）] curse_maker | 诅咒制造者
[DOMAIN:标签] [CAT:人物/身份（职业）] blacksmith | 铁匠
[DOMAIN:标签] [CAT:人物/牙齿] tooth_gap | 牙缝
[DOMAIN:标签] [CAT:人物/翅膀] sharp_tail | 锐尾
[DOMAIN:标签] [CAT:人物/身材] giant_hand | 巨手
[DOMAIN:标签] [CAT:人物/身材] three_sizes | 三围
[DOMAIN:标签] [CAT:人物/对象] no_horns | 无角
