[DOMAIN:标签] [CAT:场景/自然户外] outdoors | 户外
[DOMAIN:标签] [CAT:场景/其他] canopy | 天篷
[DOMAIN:标签] [CAT:场景/奇幻幻想] riichi_city | 利奇市
[DOMAIN:标签] [CAT:场景/交通载具] cruise_ship | 游轮
[DOMAIN:标签] [CAT:场景/其他] wooden_porch | 木制门廊
[DOMAIN:标签] [CAT:场景/奇幻幻想] princess_peach's_castle | 碧琪公主城堡
[DOMAIN:标签] [CAT:场景/其他] apt._(rose_&_bruno_mars) | 公寓（玫瑰与布鲁诺·马尔斯）
[DOMAIN:标签] [CAT:场景/奇幻幻想] kame_house | 龟屋
[DOMAIN:标签] [CAT:场景/奇幻幻想] kaidan_restaurant | 怪谈餐厅
[DOMAIN:标签] [CAT:场景/其他] raised_curb | 高起路缘
[DOMAIN:标签] [CAT:场景/其他] nude_beach | 裸体海滩
[DOMAIN:标签] [CAT:场景/奇幻幻想] neo_geo_battle_coliseum | 新Geo斗技场
[DOMAIN:标签] [CAT:场景/其他] naval_battle | 海战
[DOMAIN:标签] [CAT:场景/自然户外] log_cabin | 木屋
[DOMAIN:标签] [CAT:场景/其他] iwamotochou_geinousha | 岩本町演艺社
[DOMAIN:标签] [CAT:场景/其他] battlefield_1 | 战地风云1
[DOMAIN:标签] [CAT:场景/其他] ramp | 坡道
[DOMAIN:标签] [CAT:场景/自然户外] rainforest | 雨林
[DOMAIN:标签] [CAT:场景/特殊场所] coronation | 加冕典礼
[DOMAIN:标签] [CAT:场景/其他] yagai_gakushuu | 野外学习
[DOMAIN:标签] [CAT:场景/室内家居] screen_door | 纱门
[DOMAIN:标签] [CAT:场景/室内家居] marble_floor | 大理石地板
[DOMAIN:标签] [CAT:场景/其他] shelter | 庇护所
[DOMAIN:标签] [CAT:场景/室内家居] basement | 地下室
[DOMAIN:标签] [CAT:场景/奇幻幻想] cybertron | 塞伯坦
[DOMAIN:标签] [CAT:场景/其他] gutter | 天沟
[DOMAIN:标签] [CAT:场景/其他] princess_waltz | 公主圆舞曲
[DOMAIN:标签] [CAT:场景/室内家居] wooden_house | 木屋
[DOMAIN:标签] [CAT:场景/奇幻幻想] temple_gate | 庙门
[DOMAIN:标签] [CAT:场景/其他] soap_school | 肥皂学校
[DOMAIN:标签] [CAT:场景/特殊场所] indoor_pool | 室内泳池
[DOMAIN:标签] [CAT:场景/奇幻幻想] cloud_kingdom | 云中国
[DOMAIN:标签] [CAT:场景/自然户外] aozora_no_mieru_oka | 可见青空之丘
[DOMAIN:标签] [CAT:场景/交通载具] ship_interior | 船舱内部
[DOMAIN:标签] [CAT:场景/其他] tokyo | 东京
[DOMAIN:标签] [CAT:场景/奇幻幻想] sword_world | 剑世界
[DOMAIN:标签] [CAT:场景/其他] rome_(city) | 罗马（城市）
[DOMAIN:标签] [CAT:场景/公共设施] auditorium | 礼堂
[DOMAIN:标签] [CAT:场景/特殊场所] coliseum | 大竞技场
[DOMAIN:标签] [CAT:场景/自然户外] sand_land | 沙地
[DOMAIN:标签] [CAT:场景/奇幻幻想] shangri-la | 香格里拉
[DOMAIN:标签] [CAT:场景/其他] silo | 筒仓
[DOMAIN:标签] [CAT:场景/其他] shanghai | 上海
[DOMAIN:标签] [CAT:场景/室内家居] blue_curtains | 蓝色窗帘
[DOMAIN:标签] [CAT:场景/公共设施] art_room | 美术教室
[DOMAIN:标签] [CAT:场景/其他] vacation | 假期
[DOMAIN:标签] [CAT:场景/其他] japan_air_self-defense_force_omaezaki_sub-base | 日本航空自卫队御前崎分屯基地
[DOMAIN:标签] [CAT:场景/其他] pile_of_trash | 垃圾堆
[DOMAIN:标签] [CAT:场景/其他] after_school_lessons_for_unripe_apples | 青苹果课后辅导
[DOMAIN:标签] [CAT:场景/城市街景] streets | 街道
[DOMAIN:标签] [CAT:场景/城市街景] slums | 贫民窟
[DOMAIN:标签] [CAT:场景/城市街景] watchtower | 瞭望塔
[DOMAIN:标签] [CAT:场景/室内家居] terrace | 露台
[DOMAIN:标签] [CAT:场景/奇幻幻想] miracle_snack_shop | 奇迹零食铺
[DOMAIN:标签] [CAT:场景/自然户外] magnolia_arch | 玉兰拱门
[DOMAIN:标签] [CAT:场景/自然户外] water_fountain | 喷泉
[DOMAIN:标签] [CAT:场景/特殊场所] circus_tent | 马戏团帐篷
[DOMAIN:标签] [CAT:场景/室内家居] closed_curtains | 闭合窗帘
[DOMAIN:标签] [CAT:场景/其他] hakone_yumoto | 箱根汤本
[DOMAIN:标签] [CAT:场景/特殊场所] dance_floor | 舞池
[DOMAIN:标签] [CAT:场景/其他] peru | 秘鲁
[DOMAIN:标签] [CAT:场景/其他] portugal | 葡萄牙
[DOMAIN:标签] [CAT:场景/公共设施] cafe_little_wish | 咖啡馆小愿望
[DOMAIN:标签] [CAT:场景/其他] girder | 桁架
[DOMAIN:标签] [CAT:场景/其他] new_york | 纽约
[DOMAIN:标签] [CAT:场景/公共设施] against_chalkboard | 靠黑板
[DOMAIN:标签] [CAT:场景/奇幻幻想] tengai_makyou | 天涯魔境
[DOMAIN:标签] [CAT:场景/室内家居] white_bed | 白色床铺
[DOMAIN:标签] [CAT:场景/室内家居] floor_tiles | 地砖
[DOMAIN:标签] [CAT:场景/其他] russian_empire | 俄罗斯帝国
[DOMAIN:标签] [CAT:场景/城市街景] fire_escape | 消防通道
[DOMAIN:标签] [CAT:场景/其他] jungle_de_ikou | 丛林探险
[DOMAIN:标签] [CAT:场景/室内家居] blue_carpet | 蓝色地毯
[DOMAIN:标签] [CAT:场景/室内家居] one_room_hiatari_futsuu_tenshi-tsuki | 单间向阳带普通天使附
[DOMAIN:标签] [CAT:场景/自然户外] pavilion | 亭阁
[DOMAIN:标签] [CAT:场景/奇幻幻想] super_mario_land | 超级马里奥乐园
[DOMAIN:标签] [CAT:场景/奇幻幻想] gokurakugai | 极乐街
[DOMAIN:标签] [CAT:场景/特殊场所] sweet_pool | 甜池
[DOMAIN:标签] [CAT:场景/城市街景] big_ben | 大本钟
[DOMAIN:标签] [CAT:场景/室内家居] wooden_stairs | 木制楼梯
[DOMAIN:标签] [CAT:场景/奇幻幻想] the_summoning | 召唤仪式
[DOMAIN:标签] [CAT:场景/其他] nudist_beach_ni_shuugakuryokou_de!! | 裸体海滩修学旅行！！
[DOMAIN:标签] [CAT:场景/奇幻幻想] clock_tower_(series) | 钟楼（系列）
[DOMAIN:标签] [CAT:场景/奇幻幻想] dungeon_no_naka_no_hito | 地牢中人
[DOMAIN:标签] [CAT:场景/奇幻幻想] floating_stairs | 悬浮楼梯
[DOMAIN:标签] [CAT:场景/自然户外] stone_path | 石径
[DOMAIN:标签] [CAT:场景/室内家居] on_blanket | 在毯子上
[DOMAIN:标签] [CAT:场景/室内家居] open_window_shutter | 敞开百叶窗
[DOMAIN:标签] [CAT:场景/特殊场所] universal_studios | 环球影城
[DOMAIN:标签] [CAT:场景/室内家居] on_windowsill | 在窗台上
[DOMAIN:标签] [CAT:场景/奇幻幻想] witch's_garden | 魔女花园
[DOMAIN:标签] [CAT:场景/其他] ishikawa_prefecture | 石川县
[DOMAIN:标签] [CAT:场景/公共设施] gakkou_no_seiiki | 学校圣域
[DOMAIN:标签] [CAT:场景/室内家居] on_cushion | 在坐垫上
[DOMAIN:标签] [CAT:场景/奇幻幻想] fields_of_mistria | 米斯特里亚田野
[DOMAIN:标签] [CAT:排除/其他] trouble_trap_laboratory | 故障陷阱实验室
[DOMAIN:标签] [CAT:场景/其他] sakusei_byoutou | 榨精病房
[DOMAIN:标签] [CAT:场景/自然户外] kakouen | 花园
